name;beginning;ending
Markus Gisdol;25.09.2016;23.03.2017
Bruno Labbadia;15.04.2015;25.09.2016
Peter Knäbel;22.03.2015;15.04.2015
Josef Zinnbauer;16.09.2014;22.03.2015
Mirko Slomka;17.02.201414;15.09.2014
Bert van Marwijk;25.09.2013;15.02.2014
Rodolfo Cardoso;17.09.2013;24.09.2013
Thorsten Fink;17.10.2011;16.09.2013
Frank Arnesen;10.10.2011;16.10.2011
Rodolfo Cardoso;19.09.2011;10.10.2011
Michael Oenning;13.03.2011;19.09.2011
Armin Veh;01.07.2010;13.03.2011
Ricardo Moniz;26.04.2010;30.06.2010
Bruno Labbadia;01.07.2009;26.04.2010
Martin Jol;01.07.2008;26.05.2009
Huub Stevens;02.02.2007;30.06.2008
Thomas Doll;18.10.2004;01.02.2007
Klaus Toppmöller;23.10.2003;17.10.2004
Kurt Jara;04.10.2001;22.10.2003
Holger Hieronymus;18.09.2001;03.10.2001
Frank Pagelsdorf;01.07.1997;17.09.2001
Ralf Schehr;19.05.1997;30.06.1997
Felix Magath;06.10.1995;18.05.1997
Benno Möhlmann;23.09.1992;05.10.1995
Egon Coordes;12.03.1992;21.09.1992
Gerd-Volker Schock;05.01.1990;10.03.1992
Willi Reimann;11.11.1987;04.01.1990
Josip Skoblar;01.07.1987;09.11.1987
Ernst Happel;01.07.1981;30.06.1987
Aleksandar Ristic;19.12.1980;30.06.1981
Branko Zebec;01.07.1978;18.12.1980
Arkoc Özcan;28.10.1977;30.06.1978
Rudi Gutendorf;01.07.1977;27.10.1977
Kuno Klötzer;01.07.1973;30.06.1977
Klaus-Dieter Ochs;01.07.1970;30.06.1973
Georg Knöpfle;16.05.1969;30.06.1970
Kurt Koch;01.07.1967;15.05.1969
Josef Schneider;18.04.1966;30.06.1967
Georg Gawliczek;01.07.1964;17.04.1966
Martin Wilke;01.07.1963;07.05.1964
